V1,V2,V3
359.6583,-10.3351,-5494
359.675,-10.3351,-5532
359.6917,-10.3351,-5558
359.7083,-10.3351,-5570
359.725,-10.3351,-5564
359.7416,-10.3351,-5542
359.7583,-10.3351,-5514
359.775,-10.3351,-5480
359.7917,-10.3351,-5446
359.8083,-10.3351,-5420
359.825,-10.3351,-5402
359.8416,-10.3351,-5400
359.8583,-10.3351,-5414
359.875,-10.3351,-5438
359.8916,-10.3351,-5470
359.9083,-10.3351,-5504
359.925,-10.3351,-5538
359.9417,-10.3351,-5566
359.9583,-10.3351,-5590
359.975,-10.3351,-5606
359.9916,-10.3351,-5612
359.5083,-10.3515,-5816
359.525,-10.3515,-5792
359.5417,-10.3515,-5740
359.5583,-10.3515,-5670
359.575,-10.3515,-5594
359.5916,-10.3515,-5520
359.6083,-10.3515,-5464
359.625,-10.3515,-5440
359.6416,-10.3515,-5452
359.6583,-10.3515,-5486
359.675,-10.3515,-5524
359.6917,-10.3515,-5558
359.7083,-10.3515,-5574
359.725,-10.3515,-5576
359.7416,-10.3515,-5558
359.7583,-10.3515,-5528
359.775,-10.3515,-5488
359.7917,-10.3515,-5448
359.8083,-10.3515,-5414
359.825,-10.3515,-5401
359.8416,-10.3515,-5404
359.8583,-10.3515,-5426
359.875,-10.3515,-5460
359.8916,-10.3515,-5494
359.9083,-10.3515,-5532
359.925,-10.3515,-5566
359.9417,-10.3515,-5594
359.9583,-10.3515,-5610
359.975,-10.3515,-5614
359.9916,-10.3515,-5604
359.5083,-10.3679,-5800
359.525,-10.3679,-5780
359.5417,-10.3679,-5730
359.5583,-10.3679,-5666
359.575,-10.3679,-5594
359.5916,-10.3679,-5528
359.6083,-10.3679,-5476
359.625,-10.3679,-5450
359.6416,-10.3679,-5456
359.6583,-10.3679,-5486
359.675,-10.3679,-5520
359.6917,-10.3679,-5556
359.7083,-10.3679,-5576
359.725,-10.3679,-5582
359.7416,-10.3679,-5568
359.7583,-10.3679,-5536
359.775,-10.3679,-5490
359.7917,-10.3679,-5444
359.8083,-10.3679,-5410
359.825,-10.3679,-5398
359.8416,-10.3679,-5408
359.8583,-10.3679,-5438
359.875,-10.3679,-5478
359.8916,-10.3679,-5520
359.9083,-10.3679,-5560
359.925,-10.3679,-5590
359.9417,-10.3679,-5612
359.9583,-10.3679,-5618
359.975,-10.3679,-5610
359.9916,-10.3679,-5586
359.5083,-10.3843,-5774
359.525,-10.3843,-5754
359.5417,-10.3843,-5712
