Latitude,Longitude,2010,1990,1970
3.17,101.7,"1,524","1,120",451
12.65,-8,"1,932",746,222
18.1,-15.95,759,419,38
16.85,-99.92,865,598,178
21.88,-102.3,934,552,185
28.63,-106.08,854,539,287
19.5,-99.12,"20,142","15,312","8,769"
31.7,-106.48,"1,332",809,412
18.92,-99.25,878,490,139
24.8,-107.39,836,606,172
20.67,-103.33,"4,442","3,011","1,506"
29.07,-110.97,789,454,180
21.12,-101.67,"1,613",961,479
20.97,-89.62,"1,021",664,269
32.65,-115.46,938,607,266
25.66,-100.31,"4,100","2,594","1,267"
19.7,-101.19,810,497,165
19.04,-98.21,"2,296","1,686",645
20.59,-100.39,"1,101",561,116
26.08,-98.29,729,268,139
25.42,-101,825,491,165
22.15,-100.98,"1,042",665,303
22.25,-97.84,763,563,304
32.52,-117.01,"1,757",760,289
19.29,-99.66,"1,702",835,158
25.54,-103.45,"1,218",882,447
47.92,106.92,"1,138",572,298
30.5,-9.67,786,403,54
33.59,-7.62,"3,009","2,682","1,505"
34.05,-4.98,"1,065",685,369
31.63,-8,919,578,323
34.03,-6.83,"1,807","1,174",494
35.78,-5.81,790,423,183
-25.97,32.59,"1,132",776,371
-25.97,32.46,759,319,128
22,96.08,"1,035",635,374
19.75,96.12,"1,026", ¡ª, ¡ª
17.03,95.65,"4,356","2,907","1,946"
27.72,85.32,974,398,147
52.37,4.89,"1,049",936,927
51.93,4.48,"1,010",951,967
-36.85,174.76,"1,407",870,635
12.15,-86.27,954,735,366
13.52,2.12,"1,222",432,129
5.1,7.35,836,484,193
9.12,7.46,"2,010",330,48
6.33,5.63,"1,311",689,163
6.43,7.48,776,394,163
7.39,3.9,"2,855","1,739",809
8.53,4.57,788,515,268
9.92,8.9,748,493,152
10.52,7.44,"1,476",961,266
12,8.52,"3,271","2,095",542
6.45,3.4,"10,788","4,764","1,414"
11.88,13.27,827,598,216
8.13,4.27,"1,039",622,378
6.17,6.78,867,337,195
4.78,7.01,"1,807",680,266
59.91,10.75,898,684,643
31.42,73.08,"2,947","1,520",726
32.15,74.18,"1,712",848,321
25.37,68.37,"1,648",950,586
33.7,73.17,889,343,70
24.87,67.05,"13,500","7,147","3,119"
31.55,74.34,"7,352","3,970","1,964"
30.18,71.48,"1,720",953,501
34,71.56,"1,475",769,262
